Tourou Zan (Jab),QCF + Jab,8,4,22,-1,30,H,5,X
-,-,-,4*3,25*29,-,35+90,H,5+7,X
Tourou Zan (Strong),QCF + Strong,8,4,26,-5,35,H,5,X
-,-,-,4*4,29*32,-,40+95,H,5+7,X
Tourou Zan (Fierce),QCF + Fierce,8,4,30,-9,40,H,5,X
-,-,-,4*5,33*35,-,45+100,H,5+7,X
Tourou Zan (EX),QCF + 2 Punches,7,1,27,-4,40,H,9,X
-,-,-,1*1*1*3,28*30*33*25,-,50x4,H,5x4,X
Senkyuutai (Short),QCF + Short,8,3*3,34,-25,80+50,H+L,7+5,X
Senkyuutai (Forward),QCF + Forward,4,3*3,28,-19,80+60,H+L,9+11,X
Senkyuutai (RH),QCF + RH,3,3*3,25,-16,80+70,H+L,11+5,X
Senkyuutai (EX),QCF + 2 Kicks,3,1*1*3,25,-16,90+20+90,H+L,11+5+3,X
Byakko Soushouda,QCB + Punch,21,12,10,-3,150,H,21,O
Kaihou (Short),DPM + Short,-,28,-,-,-,-,-,X
Kaihou (Forward),DPM + Forward,-,33,-,-,-,-,-,X
Kaihou (RH),DPM + RH,-,42,-,-,-,-,-,X
Zenpou Tenshin,HCB + Kick,7,1,26,-,0,-,-,X
