Jab,2,1,5,5,5,5,30,H+L,5,X,O,O
Strong,6,2,6,6,7,8,70,H,11,X,O,O
Fierce,9,1*4,15,-3,-1,1,60+70,H,9+7,X,O+X,O+X
Far Jab,2,2,2,6,6,6,25,H+L,5,X,X,X
Far Fierce,13,4,14,-1,1,3,70,H,5,X,X,X
Crouching Jab,3,3,3,5,5,5,20,H+L,3,X,O,O
Crouching Strong,9,7,9,2,3,4,70,H+L,7,X,X,X
Crouching Fierce,8,3,18,-3,-1,1,110,H+L,15,X,X,X
Neutral Jumping Jab,3,-,-,-,-,-,50,H,7,X,X,X
Neutral Jumping Strong,5,7,-,-,-,-,80,H,11,X,X,X
Neutral Jumping Fierce,11,5,-,-,-,-,120,H,13,X,X,X
Jumping Jab,3,19,-,-,-,-,60,H,5,X,X,X
Jumping Strong,6,13,-,-,-,-,80,H,11,X,X,X
Jumping Fierce,11,5,-,-,-,-,120,H,13,X,X,X
Short,4,4,6,1,1,1,20,H+L,3,X,X,X
Forward,5,4,14,1,2,3,100,H,11,X,O,O
Roundhouse,5*2,1*6,22,-11,0,0,50+70,H,3+9,X,X,X
Far Roundhouse,9,3,21,-2,-1,1,110,H,13,X,X,X
Crouching Short,5,3,5,3,3,3,20,L,3,O,O,O
Crouching Forward,6,5,11,-2,-1,0,70,L,3,X,X,X
Crouching Roundhouse,10,2,24,-8,0,0,100,L,3,X,X,X
Neutral Jumping Short,4,-,-,-,-,-,50,H,5,X,X,X
Neutral Jumping Forward,5,7,-,-,-,-,70,H,9,X,X,X
Neutral Jumping Roundhouse,10,3,-,-,-,-,110,H,13,X,X,X
Jumping Short,3,-,-,-,-,-,40,H,5,X,X,X
Jumping Forward,7,13,-,-,-,-,70,H,9,X,X,X
Jumping Roundhouse,10,3,-,-,-,-,110,H,13,X,X,X
Back + Strong,6,1*6,10,-2,-,-,30+60,H,17,X,O+X,O+X
Towards + Short,5,4,8,-1,-,-,20,H+L,3,O,X,X
Towards + Forward,27,3,3,9,-,-,80,H,13,X,X,X
Back + Forward,13,2,13,-2,-,-,70,H,5,X,X,X
Down-Towards + Forward,6~16,11,9,-16,-,-,70,H,3,X,X,X
Towards + Roundhouse,12,1,20,-1,-,-,130,H,17,X,X,X
Throw,2,1,21,-,-,-,120,-,13,X,X,X
Universal Overhead,16 ~ 25,10,5,-5 ~ +7,0 ~ +8,+1 ~ +9,50,H,3,X,X,X
Taunt,15,9,8,-,-,-,0,H+L,7,X,X,X
