Jab,3,2,5,3,3,3,30,H+L,3,X,O,O
Strong,5,3,10,1,2,3,110,H,7,X,O,O
Fierce,4,3,17,-4,-2,0,130(100),H+L,15(13),X,O,O
Far Jab,4,2,4,4,4,4,20,H+L,3,O,O,O
Far Strong,5,3,9,4,5,6,100,H,11,X,O,O
Far Fierce,11,2,18,-3,-1,1,130,H+L,13,X,X,X
Crouching Jab,4,2,5,3,3,3,20,H+L,3,O,O,O
Crouching Strong,5,3,7,3,4,5,90,H+L,7,X,O,O
Crouching Fierce,5,4,19,-8,-6,-4,130,H+L,13,X,O,O
Jumping Jab,4,-,,,,,60,H,7,X,X,X
Jumping Strong,4,4,,,,,100,H,11,X,X,X
Jumping Fierce,6,2,,,,,140,H,15,X,X,X
Neutral Jumping Strong,5,1*5,,,,,5+50,H,7+7,X,X,X
Neutral Jumping Fierce,6,3,,,,,140,H,15,X,X,X
Short,4,3,7,2,2,2,40,H+L,3,X,X,X
Forward,4,4,11,2,4,6,110,H,11,X,O,O
Far Forward,6,3,15,-5,-4,-3,90,H,9,X,X,X
Roundhouse,8,4,18,-5,-3,-1,140,H,13,X,X,X
Crouching Short,5,2,7,1,1,1,20,L,3,O,O,O
Crouching Forward,7,4,16,-3,-2,-1,80,L,3,X,O,O
Crouching Roundhouse,7,4,25,-13,Down,Down,130,L,3,X,X,X
Jumping Short,4,18,,,,,50,H,7,X,X,X
Jumping Forward,5,5,,,,,90,H,9,X,X,X
Jumping Roundhouse,6,4,,,,,130,H,13,X,X,X
Neutral Jumping Short,4,9,,,,,50,H,5,X,X,X
Neutral Jumping Forward,5,5,,,,,90,H,9,X,X,X
Neutral Jumping Roundhouse,6,3,,,,,120,H,13,X,X,X
Towards + Strong,14,1*10,22,-1,,,40+60,H,9+7,X,X,X
Towards + Fierce,18,1*3,13,2,,,70+80,H,7+7,X,X,X
Throw,2,1,21,,,,120,,9,X,X,X
Back + Throw,2,1,21,,,,110,,15,X,X,X
Universal Overhead,16 ~ 24,8,6,-5 ~ +2,0 ~ +8,+1 ~ +9,40,H,3,X,X,X
