Jab,4,3,4,3,3,3,30,H+L,3,O,O,O
Strong,7,4,8,1,2,3,70,H,7,X,O,O
Fierce,6,6,8,1,3,5,120,H(H+L),9(5),X,O,O
Far Jab,4,3,3,4,4,4,20,H+L,3,O,X,X
Far Strong,7,2,12,1,2,3,60,H,9,X,X,X
Far Fierce,10,4,18,-2,0,2,110,H,7,X,X,X
Crouching Jab,5,1,7,2,2,2,20,H+L,3,O,O,O
Crouching Strong,5,4,11,-2,-1,0,55,H+L,5,X,O,O
Crouching Fierce,9,4,18,-5,Down,Down,100,H+L,9,X,X,X
Jumping Jab,4,19,,,,,40,H,7,X,X,X
Jumping Strong,5,13,,,,,70,H,11,X,X,X
Jumping Fierce,9,4,,,,,125,H,15,X,X,X
Short,2,4,7,0,0,0,35,H+L,5,X,O,O
Forward,4,5,11,1,3,5,90,H,9,X,O,O
Roundhouse,8,1*4,13,3,5,7,80+60,H,7+9,X,O+X,O+X
Far Short,3,4,4,2,2,2,30,H+L,3,X,X,X
Far Forward,8,4,14,-3,-2,-1,80,H,7,X,O,O
Far Roundhouse,10,2,23,-9,-7,-5,130,H,11,X,X,X
Crouching Short,3,3,7,0,0,0,30,L,3,X,X,X
Crouching Forward,8,4,18,-9,-8,-7,60,L,3,X,X,X
Crouching Roundhouse,9,1*4,21,-11,Down,Down,100+110,L,3+3,X,X,X
Jumping Short,4,13,,,,,50,H,5,X,X,X
Jumping Forward,6,3,,,,,90,H,9,X,X,X
Jumping Roundhouse,10,3,,,,,120,H,13,X,X,X
Towards + Forward,18,2,20,-7,,,80,H,3,X,X,X
Neutral Throw,2,1,21,,,,30+20+70,,3+3+9,X,X,X
Throw,2,1,21,,,,130,,5,X,X,X
Universal Overhead,16 ~ 25,9,5,-5 ~ +7,0 ~ +8,+1 ~ +9,40,H,3,X,X,X
Taunt,,130,,,,,0,,,X,X,X
