Jab,5,1,8,2,2,2,30,H+L,3,X,O,O
Strong,8,1,12,0,1,2,50,H,11,X,X,O
Fierce,15,1,28,-13,-11,-9,100,H,11,X,X,X
Back + Jab,3,1,6,3,3,3,50,H+L,5,X,O,O
Back + Strong,4,1,10,1,2,3,70,H,11,X,O,O
Back + Fierce,11,3,15,-3,Down,Down,130,H+L,15,X,X,X
Crouching Jab,6,1,4,3,3,3,30,H+L,3,X,O,O
Crouching Strong,8,1,12,0,1,2,60,H+L,7,X,X,X
Crouching Fierce,16,1,22,-7,-5,-3,90,H+L,5,X,X,X
Neutral Jumping Jab,5,5,-,-,-,-,30,H,7,X,X,X
Neutral Jumping Strong,8,1,-,-,-,-,70,H,11,X,X,X
Jumping Jab,4,13,-,-,-,-,40,H,7,X,X,X
Jumping Strong,9,1,-,-,-,-,80,H,11,X,X,X
Jumping Fierce,13,1,-,-,-,-,100,H,15,X,X,X
Short,4,1,9,1,1,1,40,H+L,5,X,O,O
Forward,9,1,14,-1,0,1,70,H+L,3,X,X,X
Roundhouse,18,1,24,-8,-6,-4,110,H,13,X,X,X
Back + Short,3,1,7,3,3,3,45,H+L,7,O,O,O
Back + Forward,5,1,10,3,4,5,80,H,13,X,O,O
Back + Roundhouse,12,1,16,10,12,14,140,H,17,X,X,X
Crouching Short,6,1,8,2,2,2,35,L,3,X,O,O
Crouching Forward,12,1,17,-5,-4,-3,60,L,3,X,X,X
Crouching Roundhouse,13,1,27,-12,Down,Down,100,L,3,X,X,X
Jumping Short,2,14,-,-,-,-,30,H,5,X,X,X
Jumping Forward,10,3,-,-,-,-,70,H,9,X,X,X
Jumping Roundhouse,15,3,-,-,-,-,120,H,13,X,X,X
Down Back + Fierce,9,1,14,2,-,-,140,H+L,11,X,X,X
Drill Short,9,-,-,-,-,-,50+15,H+L,3+3,X,X,X
Drill Forward,9,-,-,-,-,-,60+20,H+L,3+3,X,X,X
Drill RH,9,-,-,-,-,-,80+20,H+L,5+5,X,X,X
Throw,2,1,21,-,-,-,120,-,13,X,X,X
Back + Throw,2,1,21,-,-,-,100,-,19,X,X,X
Reverse Throw,2,1,21,-,-,-,200,-,11,X,X,X
Universal Overhead,16 ~ 25,9,5,-5 ~ +7,0 ~ +8,+1 ~ +9,40,H,3,X,X,X
Taunt,22,3*1,23,-,-,-,5x2,H+L,0,X,X,X
