Tetsu Zankou (Jab),DPM + Jab,14,5,13,-1,110,H+L,9,O
Tetsu Zankou (Strong),DPM + Strong,18,5,15,-3,125,H+L,9,O
Tetsu Zankou (Fierce),DPM + Fierce,22,5,17,-5,140,H+L,9,O
Tetsu Zankou (EX),DPM + 2 Punches,10,6*5,19,-7,80+80,H+L,9+5,O
Zesshou Hohou (Jab),QCF + Jab,7,4,22,-11,100,H+L,9(5),X
Zesshou Hohou (Strong),QCF + Strong,10,10,16,-11,110,H+L,9(5),X
Zesshou Hohou (Fierce),QCF + Fierce,13,14,12,-11,120,H+L,9(5),X
Zesshou Hohou (EX),QCF + 2 Punches,13,8*5,12,-2,60+120,H,7+5,X
Nishou Kyaku (Short),DPM + Short,4,1*3,25,-25,80+50,H+L,7+5,X
Nishou Kyaku (Forward),DPM + Forward,6,1*3,26,-26,80+60,H+L,7+5,X
Nishou Kyaku (RH),DPM + RH,8,1*3,28,-28,80+70,H+L,7+5,X
Nishou Kyaku (EX),DPM + 2 Kicks,4,1*3,29,-28,80+90,H+L,9+5,X
Kobokushi,QCB + Punch,24,9,4,0,180(140),H+L,23(17),O
Zenpou Tenshin,HCB + Kick,7,1,26,-,0,-,-,X
