Metallic Sphere (Jab),QCF + Jab,14,1,39,-8,70,H,3,O
Metallic Sphere (Strong),QCF + Strong,14,1,35,-4,70,H,3,O
Metallic Sphere (Fierce),QCF + Fierce,14,1,28,3,70,H,3,O
Metallic Sphere (EX),QCF + 2 Punches,15,1,55,-16,80+80,H,3+3,O
Violence Knee Drop,Hold D...U + Kick,24,11/12/2015,7,-18,110,H,11,X
Violence Knee Drop (EX),Hold D...U + 2 Kicks,26,4*1,7,-16,30+110,H,5+13,X
Chariot rush (Short),Hold B...F + Short,7,9,26,-10,120,H,7,O
Chariot rush (Forward),Hold B...F + Forward,10,11,27,-11,130,H,9,O
Chariot rush (RH),Hold B...F + RH,13,14,28,-12,150,H,11,O
Chariot rush (EX),Hold B...F + 2 Kicks,6,23*9,28,-9,90+80,H,9+9,O+X
Headbutt (Jab),Hold D...U + Jab,7,1,16,-2,120,H,13,X
Headbutt (Strong),Hold D...U + Strong,9,3,15,-3,130,H,15,X
Headbutt (Fierce),Hold D...U + Fierce,12,5,16,-6,140,H,17,X
Headbutt (EX),Hold D...U + 2 Punches,9,1*1,12,2,80+80,H,11+11,X
