Electric Shock (Jab),DPM + Jab,6,1,16,-,60,H,9,O
-,-,3,1,16,-10,60,H,5,O
Electric Shock (Strong),DPM + Strong,8,1,-,-,60,H,9,O
-,-,3*3,1*1,33,-26,60,H,5,O
Electric Shock (Fierce),DPM + Fierce,10,1,-,-,60,H,9,O
-,-,-,1x3,35,-24,60,H,5,O
Snake Fang (Short),HCF + Short,12,1,28,-15,140,-,11,X
Snake Fang (Forward),HCF + Forward,12,1,30,-17,150,-,13,X
Snake Fang (RH),HCF + RH,12,1,32,-19,160,-,15,X
Spinning Punch (Jab),HCF + Jab,6*8,3*3,13,1,50+70,H,7+5,X+O
Spinning Punch (Strong),HCF + Strong,10*10,2*3,18,-4,50+80,H,7+5,X+O
Spinning Punch (Fierce),HCF + Fierce,17*13,3*2,-,-18,50+50,H,7+7,X
-,-,10,3,19,-,80(50),H,5,O
Spinning Punch (EX),HCF + 2 Punches,8*10*8,3*2*2,-,-9,50+50+50,H,3+3+3,X
-,,8*9,2*3,23,-,50+50,H,3+3,X+O
Flying Viper (Jab),QCB + Jab,26,4,17,-3,120,H,11,X
Flying Viper (Strong),QCB + Strong,26,5,15,-2,140,H,11,X
Flying Viper (Fierce),QCB + Fierce,28,6,14,-2,160,H,11,X
Flying Viper (EX),QCB + 2 Punches,24,4*3,10,2,80+120,H,11+3,X
Raging Cobra (Short),QCB + Short,23,3,17,-6,130,H,7,X
Raging Cobra (Forward),QCB + Forward,25,3,17,-6,150,H,9,X
Raging Cobra (RH),QCB + RH,27,3,17,-6,170,H,11,X
Raging Cobra (EX),QCB + 2 Kicks,25,1*1,17,-3,100+110,H,11+3,X
