Jab,4,3,6,2,2,2,35,H+L,3,O,O,O
Far Jab,6,3,4,4,4,4,30,H+L,3,O,X,X
Strong,12,4,19,-2,0,2,90,H,9,X,X,X
Fierce,18,15,23,-23,Down,Down,130,H,15,X,X,X
Crouching Jab,5,3,4,4,4,4,20,H+L,3,X,X,X
Crouching Strong,8,4,13,-2,-1,0,90,H+L,9,X,X,X
Crouching Fierce,14,1,20,-3,-1,1,120,L,5,X,X,X
Neutral Jumping Jab,2,,,,,,40,H,7,X,X,X
Jumping Jab,2,,,,,,40,H,7,X,X,X
Jumping Strong,7,5,,,,,100,H,11,X,X,X
Jumping Fierce,10,7,,,,,130,H,15,X,X,X
Short,4,3,8,2,2,2,40,H+L,3,X,X,X
Forward,7,1,18,-2,0,2,100,H,3,X,O,O
Far Forward,8,4,14,-1,1,3,110,H,7,X,X,X
Roundhouse,20,4,28,-12,-10,-8,150,H,9,X,X,X
Crouching Short,6,4,8,-2,-2,-2,20,L,3,X,X,X
Crouching Forward,7,2,14,-3,-2,-1,80,L,3,X,X,X
Crouching Roundhouse,12,7,33,-25,Down,Down,130,L,3,X,X,X
Jumping Short,4,,,,,,40,H,7,X,X,X
Jumping Forward,9,7,,,,,90,H,9,X,X,X
Jumping Roundhouse,17,2,,,,,145,H,13,X,X,X
Back + Strong,8,3,18,-2,,,100,H,13,X,X,X
Back + Fierce,13,10,15,-20,,,120,H,15,X,X,X
Back + Roundhouse,11,6,35,-26,,,140,H+L,3,X,O,O
Neutral Throw,2,1,21,,,,140,-,13,X,X,X
Throw,2,1,21,,,,110,-,17,X,X,X
Universal Overhead,16-25,9,5,-5 ~ +7,0 ~ +8,+1 ~ +9,40,H,3,X,X,X
