Jab,4,3,8,-1,-1,-1,35,H+L,5,O,X,X
Strong,10,6,12,-5,0,1,120,H,13,X,X,X
Fierce,16,6,15,-3,-1,1,170,H,21,X,X,X
Crouching Jab,4,2,8,-1,-1,-1,30,H+L,3,O,O,O
Crouching Strong,7,4,12,-2,-1,0,90,H+L,3,X,X,X
Crouching Fierce,13,9,37,-29,Down,Down,110,H+L,13,X,X,X
Jumping Jab,3,10,-,-,-,-,40,H,9,X,X,X
Jumping Strong,7,7,-,-,-,-,100,H,13,X,X,X
Jumping Fierce,13,4,-,-,-,-,150,H,17,X,X,X
Short,5,3,9,1,1,1,50,H+L,3,X,O,O
Forward,9,1*3,23,-4,1,3,70+50,H,9+5,X,X,X
Roundhouse,21,7,28,-13,3,3,150,H,19,X,X,X
Crouching Short,3,2,7,2,2,2,40,L,3,X,O,O
Crouching Forward,8,4,17,-5,Down,Down,100,L,3,X,X,X
Crouching Roundhouse,11,22,-,-43,Down,Down,170,H+L,13,X,X,X
Jumping Short,3,15,-,-,-,-,60,H,7,X,X,X
Jumping Forward,5,6,-,-,-,-,100,H,11,X,X,X
Jumping Roundhouse,11,6,-,-,-,-,130,H,15,X,X,X
Towards + Fierce,14,3,33,-14,-,-,160,H,21,X,X,X
Down + Fierce (Air),9,-,-,-,-,-,100,H,17,X,X,X
Neutral Throw,2,1,21,-,-,-,30x8,-,5x8,X,X,X
Throw,2,1,21,-,-,-,160,-,13,X,X,X
Universal Overhead,16 ~ 25,9,5,-5 ~ +7,0 ~ +7,+1 ~ +9,40,H,3,X,X,X
